document_id,title,topic,care_setting,population,text,origin,source_url,license
doc_chr_001,Type 2 diabetes self-management,chronic_disease,primary_care,adult,"Type 2 diabetes management combines balanced meals, regular physical activity, and adherence to prescribed medicines. Monitor blood glucose as directed and attend routine foot and eye screening. Seek urgent care for persistent vomiting, confusion, or dehydration.",synthetic,,CC0-1.0
doc_chr_002,Hypertension lifestyle measures,chronic_disease,primary_care,adult,"Lowering dietary salt, maintaining healthy weight, and daily moderate activity help control blood pressure. Take antihypertensive medicines at the same time each day and never stop abruptly without clinician review. Home blood pressure logs assist titration at follow-up visits.",synthetic,,CC0-1.0
doc_chr_003,Asthma action plan basics,chronic_disease,primary_care,child,"Children with asthma should use a written action plan covering daily controller inhalers and reliever use. Trigger avoidance includes smoke, dust mites, and untreated upper respiratory infections. Red flags for emergency care: blue lips, inability to speak full sentences, or reliever not helping.",synthetic,,CC0-1.0
doc_inf_001,Malaria prevention in endemic areas,infectious_disease,community,general,"Sleep under insecticide-treated nets, eliminate stagnant water near homes, and seek testing for fever. Complete the full course of antimalarial medicines if prescribed. Pregnant women in endemic zones should receive intermittent preventive therapy per national guidelines.",synthetic,,CC0-1.0
doc_inf_002,Hand hygiene and respiratory etiquette,infectious_disease,community,general,Wash hands with soap for at least twenty seconds before eating and after toilet use. Cover coughs with elbow or tissue and dispose of tissues safely. Stay home when febrile to reduce transmission of respiratory viruses in schools and workplaces.,synthetic,,CC0-1.0
doc_inf_003,Waterborne diarrhoea prevention,infectious_disease,community,child,"Use safe drinking water, breastfeed infants under six months, and practice handwashing after nappy changes. Oral rehydration solution prevents dehydration from acute diarrhoea. Seek care for blood in stool, persistent vomiting, or signs of severe dehydration.",synthetic,,CC0-1.0
doc_mat_001,Prenatal visit schedule,maternal_health,primary_care,pregnant,"Attend at least eight antenatal contacts with blood pressure, anaemia screening, and fetal growth checks. Take iron-folic acid supplements as directed and discuss birth preparedness. Report severe headache, vision changes, or reduced fetal movement promptly.",synthetic,,CC0-1.0
doc_mat_002,Postpartum warning signs,maternal_health,primary_care,pregnant,"New mothers should watch for heavy bleeding, foul-smelling discharge, fever, or severe abdominal pain. Breast engorgement and mild mood changes are common but persistent low mood needs support referral. Family members can assist with rest, nutrition, and newborn care tasks.",synthetic,,CC0-1.0
doc_mat_003,Anaemia in pregnancy,maternal_health,primary_care,pregnant,"Anaemia increases fatigue and adverse birth outcomes; screening is routine at antenatal visits. Iron supplementation with vitamin C rich foods improves absorption. Investigate poor response for hookworm, malaria, or dietary gaps.",synthetic,,CC0-1.0
doc_med_001,Antibiotic adherence,medication_safety,primary_care,general,"Finish the full antibiotic course even if symptoms improve early unless a clinician advises stopping. Do not share antibiotics or use leftover medicines for new illnesses. Report rash, swelling, or breathing difficulty as possible allergic reactions.",synthetic,,CC0-1.0
doc_med_002,Medicine storage at home,medication_safety,home,general,"Store medicines in original containers away from heat, humidity, and direct sunlight. Keep out of reach of children and check expiry dates during household audits. Dispose of unused medicines through pharmacy take-back programmes where available.",synthetic,,CC0-1.0
doc_med_003,Paracetamol dosing safety,medication_safety,home,child,Use weight-based paediatric paracetamol dosing and avoid duplicate products containing the same ingredient. Do not exceed maximum daily doses printed on the label. Seek care if fever persists beyond forty-eight hours or the child is lethargic.,synthetic,,CC0-1.0
doc_nut_001,Exclusive breastfeeding guidance,nutrition,community,infant,Exclusive breastfeeding for the first six months provides optimal nutrition and immune protection. Feed on demand including night feeds and ensure proper latch to prevent cracked nipples. Introduce complementary foods at six months while continuing breastfeeding up to two years.,synthetic,,CC0-1.0
doc_nut_002,Balanced plate for adults,nutrition,community,adult,"Aim for half the plate vegetables and fruits, one quarter whole grains, and one quarter protein. Limit sugary drinks and ultra-processed snacks linked to obesity and diabetes risk. Adequate water intake supports kidney function and medication tolerance.",synthetic,,CC0-1.0
doc_nut_003,Micronutrients in children,nutrition,primary_care,child,"Vitamin A supplementation and deworming may be recommended in high-burden programmes. Varied diets with legumes, eggs, and green leafy vegetables reduce deficiency risk. Growth monitoring at clinics identifies faltering early.",synthetic,,CC0-1.0
doc_vac_001,Childhood immunisation schedule overview,vaccination,primary_care,child,"Follow the national expanded programme schedule for BCG, polio, pentavalent, measles, and yellow fever where indicated. Minor fever after vaccination is common; paracetamol may ease discomfort per clinician advice. Keep the immunisation card updated for school entry and travel.",synthetic,,CC0-1.0
doc_vac_002,Vaccine contraindications and delays,vaccination,primary_care,child,Postpone vaccination during moderate acute illness with high fever unless the clinician advises otherwise. True contraindications are rare; prior anaphylaxis to a vaccine component requires specialist review. Catch-up schedules exist for missed doses.,synthetic,,CC0-1.0
doc_vac_003,Adult tetanus booster,vaccination,primary_care,adult,Tetanus boosters are recommended every ten years or after dirty wounds if status is uncertain. Wound cleaning is immediate first aid regardless of vaccination history. Pregnant women may receive tetanus toxoid doses per national maternal immunisation policy.,synthetic,,CC0-1.0
doc_emg_001,Fever in infants under three months,emergency_triage,hospital,infant,"Any documented fever in infants under three months requires urgent clinical assessment. Do not rely on home remedies alone; proceed to a facility with paediatric capacity. Note feeding changes, lethargy, and rash for the triage team.",synthetic,,CC0-1.0
doc_emg_002,Chest pain red flags,emergency_triage,hospital,adult,"Sudden crushing chest pain, pain radiating to jaw or arm, or pain with breathlessness may signal cardiac emergency. Call emergency services rather than self-transport if symptoms are severe or worsening. Aspirin may be indicated only when not contraindicated and advised by emergency protocols.",synthetic,,CC0-1.0
doc_emg_003,When to escalate diarrhoea in children,emergency_triage,primary_care,child,"Give oral rehydration for mild dehydration but escalate if the child is unable to drink, has sunken eyes, or produces very little urine. Blood in stool, high fever, or persistent vomiting also warrant facility assessment.",synthetic,,CC0-1.0
doc_men_001,Sleep hygiene for stress,mental_health_basics,home,adult,"Consistent sleep and wake times, reduced evening screens, and a cool dark bedroom improve sleep quality. Brief relaxation breathing before bed can lower arousal after stressful days. Persistent insomnia beyond four weeks merits primary care review.",synthetic,,CC0-1.0
doc_men_002,When to seek help for low mood,mental_health_basics,primary_care,adult,"Seek support when low mood lasts most days for two weeks and interferes with work or relationships. Counselling, peer support, and structured activity scheduling are first-line options in many settings. Thoughts of self-harm require immediate contact with crisis lines or emergency services.",synthetic,,CC0-1.0
doc_men_003,Supporting adolescents with anxiety,mental_health_basics,school,child,"Validate feelings without dismissing school stress and teach paced breathing for panic symptoms. Maintain routines for meals, sleep, and limited caffeine. Refer to counsellors when avoidance behaviour prevents attendance or social participation.",synthetic,,CC0-1.0
